Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
65,3.0,0.0,0.0,792.0,5.0,168.0,10341.0,0.1,3985.0,0.0,0.0,2505.3478298187256,,,,,,,,,,,,,,,,,,,,,2106.848000450494,1183.3118570850252,3638.322542687149,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,963.0,6.0,171.0,10512.0,0.1,3470.0,0.0,0.0,2523.351803302765,,,,,,,,,,,,,,,,,,,,,1735.3572217121125,1053.6359577248868,3179.6099553880513,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,1133.0,7.0,170.0,10682.0,0.1,4005.0,0.0,0.0,2540.583718776703,,,,,,,,,,,,,,,,,,,,,1810.936700340344,1089.0590596351824,3704.546148693382,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1310.0,8.0,177.0,10859.0,0.1,4570.0,0.0,0.0,2558.671762228012,,,,,,,,,,,,,,,,,,,,,2098.9834024682586,1262.7005534681846,4206.8895098933945,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,1363.0,9.0,53.0,10912.0,0.1,1230.0,0.0,0.0,2564.7615878582,,,,,,,,,,,,,,,,,,,,,699.7095837284918,385.91514666008146,1195.3048063703243,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1545.0,10.0,182.0,11094.0,0.1,4605.0,0.0,0.0,2583.4444692134857,,,,,,,,,,,,,,,,,,,,,1994.0812113299623,1262.8190901507883,4250.574117198226,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1599.0,11.0,54.0,11148.0,0.1,1505.0,0.0,0.0,2589.0962188243866,,,,,,,,,,,,,,,,,,,,,904.4544155838414,480.5815443135449,1459.076154791902,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1645.0,12.0,46.0,11194.0,0.1,1445.0,0.0,0.0,2593.913262605667,,,,,,,,,,,,,,,,,,,,,802.0040779466864,467.08697082307486,1410.928258002199,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1817.0,13.0,172.0,11366.0,0.1,3925.0,0.0,0.0,2611.336902856827,,,,,,,,,,,,,,,,,,,,,1674.276316665028,910.0895682110106,3644.3094481204093,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1983.0,14.0,166.0,11532.0,0.1,4395.0,0.0,0.0,2628.442361831665,,,,,,,,,,,,,,,,,,,,,1805.0202732437808,1135.3966271622276,4103.569670412686,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
